Key,Yes 1,Femal 1,year joined,hon,full,,,
2,1,0,2013,0,1,,,
8,0,0,2009,0,1,,,
14,1,0,1987,1,0,,,
16,1,0,2007,0,1,,,
20,1,0,1986,0,1,,,
22,0,0,2010,0,0,,,
24,0,0,2010,0,1,,,
29,0,0,1978,1,0,,,
33,0,0,1989,0,1,,,
36,0,0,1969,0,1,,,
37,0,0,2007,0,1,,,
39,0,0,2000,0,1,,,
40,1,0,1989,0,1,,,
42,1,0,2010,0,1,,,
43,0,0,2007,0,1,,,
45,0,0,2005,0,1,,,
46,1,0,2005,0,1,,,
47,0,0,2013,0,1,,,
48,0,0,2005,0,1,,,
51,0,0,2013,0,1,,,
52,1,0,1992,0,1,,,
53,1,0,2010,0,1,,,
54,0,0,1984,0,1,,,
56,0,0,2012,1,0,,,
59,0,0,2009,0,1,,,
63,0,0,1967,0,1,,,
67,1,0,2005,0,1,,,
68,0,0,2008,0,1,,,
79,0,0,2010,0,1,,,
80,0,0,1989,0,1,,,
82,1,0,2001,0,1,,,
85,0,0,2015,0,1,,,
89,1,0,2013,0,1,,,
91,0,0,2013,0,1,,,
93,0,0,1988,0,1,,,
98,0,0,1978,1,0,,,
99,1,0,1978,0,1,,,
101,1,0,1975,0,1,,,
104,0,0,1991,0,1,,,
108,1,0,1985,0,1,,,
111,0,0,2013,0,1,,,
123,0,0,1963,1,0,,,
126,0,0,2010,0,1,,,
127,1,0,1963,0,1,,,
129,1,0,2005,0,1,,,
130,0,0,2013,0,1,,,
132,0,0,2013,0,1,,,
133,0,0,1979,0,1,,,
135,0,0,2011,0,1,,,
141,0,0,1989,0,1,,,
143,0,0,1968,0,1,,,
145,0,0,2006,0,1,,,
147,0,0,2013,0,1,,,
148,0,0,1989,0,1,,,
150,0,0,1998,0,1,,,
154,1,0,1968,0,1,,,
155,1,0,2007,0,1,,,
158,1,0,1989,0,1,,,
161,1,0,1992,0,1,,,
164,1,0,1989,0,1,,,
168,1,0,2005,0,1,,,
170,0,0,2013,0,1,,,
171,1,0,2013,0,1,,,
1,1,1,1996,1,0,,,
6,0,1,2013,0,1,,,
11,0,1,2013,0,1,,,
18,0,1,2014,0,1,,,
21,0,1,1987,0,1,,,
23,1,1,1973,0,1,,,
25,0,1,2010,0,1,,,
27,0,1,1979,0,1,,,
35,0,1,2012,0,1,,,
44,0,1,2005,0,1,,,
58,0,1,1981,0,1,,,
60,1,1,1976,0,1,,,
71,1,1,1963,0,1,,,
74,1,1,1982,0,1,,,
75,0,1,2010,0,1,,,
76,0,1,2008,0,1,,,
78,1,1,1988,0,1,,,
83,0,1,1992,0,1,,,
86,0,1,2005,0,1,,,
87,0,1,2004,0,1,,,
95,0,1,2000,0,1,,,
96,0,1,2010,0,1,,,
97,1,1,1987,0,1,,,
102,1,1,2005,0,1,,,
105,1,1,1993,1,0,,,
107,0,1,1983,0,1,,,
109,1,1,1973,0,1,,,
114,0,1,2012,0,1,,,
116,1,1,1976,0,1,,,
125,1,1,1988,1,0,,,
136,1,1,2010,0,1,,,
151,1,1,2005,0,1,,,
157,1,1,1965,0,1,,,
165,1,1,1989,0,1,,,
169,0,1,2005,0,1,,,
172,1,1,2013,0,1,,,
3,0,0,2014,0,1,,,
5,0,0,2012,0,1,,,
7,1,0,2006,0,1,,,
26,0,0,2005,0,1,,,
38,0,0,2013,0,1,,,
57,0,0,2005,0,1,,,
61,1,0,1963,0,1,,,
62,0,0,1976,0,1,,,
64,1,0,2010,0,0,,,
66,1,0,1965,0,1,,,
69,0,0,1984,0,1,,,
77,1,0,1989,0,1,,,
88,1,0,2010,0,0,,,
100,0,0,2011,0,1,,,
115,1,0,2013,0,1,,,
118,0,0,2013,0,1,,,
120,1,0,1965,0,1,,,
122,0,0,1989,0,1,,,
124,1,0,2010,0,1,,,
128,1,0,1978,0,1,,,
134,1,0,2003,0,1,,,
137,1,0,2013,0,1,,,
138,1,0,1979,0,1,,,
144,1,0,2011,0,1,,,
146,1,0,1963,0,1,,,
152,0,0,2014,0,1,,,
153,1,0,2013,0,1,,,
156,0,0,1990,0,1,,,
159,0,0,2005,0,1,,,
173,0,0,2013,0,1,,,
10,0,1,1998,0,1,,,
17,0,1,1989,0,1,,,
19,1,1,1984,0,1,,,
28,1,1,2005,0,1,,,
31,0,1,1990,0,1,,,
34,0,1,1992,0,1,,,
65,0,1,2013,0,1,,,
72,0,1,2010,0,0,,,
73,0,1,2010,0,0,,,
106,0,1,2013,0,1,,,
